id,filename,true_class,pred_class,is_correct
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0016.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0027.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0043.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0019.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0072.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0071.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0078.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0021.png,doppler-mode,b-mode,False
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0013.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0018.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0002.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0041.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0005.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0079.png,doppler-mode,b-mode,False
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0066.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0009.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0077.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0010.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0014.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0012.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0057.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0069.png,b-mode,b-mode,True
2b32324d34ec46ff7eef8c6d1d54a0af7dbe19c62d35933d53c4d83d85e053f2.mkv_frames,frame_0025.png,b-mode,b-mode,True
